iter	Passed	Remaining
0	1	150
1	3	195
2	5	190
3	7	183
4	9	187
5	11	179
6	13	178
7	14	172
8	17	173
9	19	171
10	20	165
11	22	163
12	23	159
13	25	157
14	27	155
15	29	153
16	31	152
17	32	150
18	34	147
19	36	145
20	38	144
21	39	141
22	41	140
23	43	137
24	44	134
25	46	132
26	47	129
27	49	126
28	50	124
29	52	123
30	54	121
31	55	118
32	57	117
33	59	115
34	61	113
35	62	111
36	64	109
37	66	108
38	67	106
39	69	103
40	70	101
41	71	98
42	72	96
43	74	94
44	76	93
45	77	91
46	79	89
47	80	87
48	81	85
49	83	83
50	84	80
51	85	78
52	87	77
53	88	75
54	89	72
55	90	71
56	92	69
57	93	67
58	94	65
59	96	64
60	98	62
61	99	61
62	101	59
63	102	57
64	103	55
65	105	54
66	107	53
67	109	51
68	111	49
69	112	48
70	113	46
71	114	44
72	116	43
73	117	41
74	119	39
75	121	38
76	123	36
77	125	35
78	126	33
79	127	31
80	129	30
81	130	28
82	131	26
83	133	25
84	135	23
85	136	22
86	137	20
87	138	18
88	140	17
89	142	15
90	143	14
91	144	12
92	145	10
93	147	9
94	148	7
95	149	6
96	151	4
97	153	3
98	154	1
99	156	0
